year_month,Rate,Rate_scaled,Predicted_Rate_scaled,Predicted_Rate
2022-11,3.755,0.7017815646785437,0.6673117512776692,3.572952380952381
2022-12,4.091904761904762,0.76557280972463,0.7578304958540601,4.0510147869674205
2023-01,4.33,0.8106549617006628,0.7961857738416104,4.253582957393487
2023-02,4.565263157894737,0.8552008733426647,0.844131832967054,4.506803530565546
2023-03,4.65304347826087,0.8718216414643183,0.8705460075083958,4.64630639147275
2023-04,4.83,0.9053274808503313,0.9013021743730557,4.808740892745697
2023-05,5.045909090909091,0.9462087959376883,0.9364390196182196,4.994311349520043
2023-06,5.075714285714286,0.951852261689597,0.9532748576838427,5.083227532467531
2023-07,5.117,0.9596695068422412,0.9615137275152766,5.12674
2023-08,5.33,1.0000000000000002,0.9893577268759298,5.273794285714286
2023-09,5.33,1.0000000000000002,0.9983867802736897,5.321479999999999
