url,zpid,date,event,posting_is_rental,price,price_change_rate,price_per_squarefoot,source,source_image
https://www.zillow.com/homedetails/1010-E-25th-St-Houston-TX-77009/27784623_zpid/,27784623,2024-05-31T00:00:00.000Z,Listed for rent,TRUE,3850,-0.012820513,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1010-E-25th-St-Houston-TX-77009/27784623_zpid/,27784623,2024-02-12T00:00:00.000Z,Price change,TRUE,4000,-0.024390244,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1010-E-25th-St-Houston-TX-77009/27784623_zpid/,27784623,2024-01-16T00:00:00.000Z,Price change,TRUE,4400,-0.022222222,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1511-McNeil-St-Houston-TX-77009/27776100_zpid/,27776100,2023-10-27T00:00:00.000Z,Listed for rent,TRUE,2450,0.065217391,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2408-Emancipation-Ave-C-Houston-TX-77004/2080206164_zpid/,2080206164,2024-08-07T00:00:00.000Z,Price change,TRUE,2600,-0.037037037,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2408-Emancipation-Ave-C-Houston-TX-77004/2080206164_zpid/,2080206164,2024-05-31T00:00:00.000Z,Listed for rent,TRUE,2800,0.076923077,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2408-Emancipation-Ave-C-Houston-TX-77004/2080206164_zpid/,2080206164,2023-11-17T00:00:00.000Z,Price change,TRUE,2600,-0.037037037,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/127-Amundsen-St-Houston-TX-77009/338062967_zpid/,338062967,2024-08-03T00:00:00.000Z,Price change,TRUE,2450,-0.057692308,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/127-Amundsen-St-Houston-TX-77009/338062967_zpid/,338062967,2024-07-10T00:00:00.000Z,Price change,TRUE,2700,-0.035714286,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/127-Amundsen-St-Houston-TX-77009/338062967_zpid/,338062967,2024-06-28T00:00:00.000Z,Listed for rent,TRUE,2800,0.12,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
